1.0000,0.8381,0.9390,0.7705,0.5507,0.2967,0.1696,0.1399,0.1832,0.3142,0.4529,0.6673,0.5129,0.7886
0.8381,1.0000,0.8462,0.9104,0.8366,0.5135,0.2765,0.1841,0.1875,0.2586,0.3029,0.4164,0.3634,0.5119
0.9390,0.8462,1.0000,0.8959,0.6550,0.4017,0.2400,0.1796,0.1954,0.2828,0.4066,0.5983,0.4076,0.6609
0.7705,0.9104,0.8959,1.0000,0.8888,0.6345,0.3785,0.2417,0.2094,0.2439,0.2979,0.4079,0.2979,0.4489
0.5507,0.8366,0.6550,0.8888,1.0000,0.8423,0.5367,0.3288,0.2514,0.2437,0.2368,0.2782,0.2470,0.3043
0.2967,0.5135,0.4017,0.6345,0.8423,1.0000,0.8416,0.5512,0.3523,0.2482,0.2011,0.1905,0.1769,0.1769
0.1696,0.2765,0.2400,0.3785,0.5367,0.8416,1.0000,0.8411,0.5486,0.3229,0.2321,0.1744,0.1735,0.1353
0.1399,0.1841,0.1796,0.2417,0.3288,0.5512,0.8411,1.0000,0.8406,0.5316,0.3702,0.2369,0.2667,0.1674
0.1832,0.1875,0.1954,0.2094,0.2514,0.3523,0.5486,0.8406,1.0000,0.8390,0.6286,0.4007,0.5042,0.2955
0.3142,0.2586,0.2828,0.2439,0.2437,0.2482,0.3229,0.5316,0.8390,1.0000,0.8883,0.6596,0.8339,0.5528
0.4529,0.3029,0.4066,0.2979,0.2368,0.2011,0.2321,0.3702,0.6286,0.8883,1.0000,0.8965,0.9075,0.7714
0.6673,0.4164,0.5983,0.4079,0.2782,0.1905,0.1744,0.2369,0.4007,0.6596,0.8965,1.0000,0.8484,0.9442
0.5129,0.3634,0.4076,0.2979,0.2470,0.1769,0.1735,0.2667,0.5042,0.8339,0.9075,0.8484,1.0000,0.8351
0.7886,0.5119,0.6609,0.4489,0.3043,0.1769,0.1353,0.1674,0.2955,0.5528,0.7714,0.9442,0.8351,1.0000
