1.0000,0.9603,0.8527,0.8654,0.8370,0.7815,0.7031,0.7028,0.6685,0.5992,0.5444,0.5331,0.4837,0.4260,0.3929,0.3745,0.3315,0.2836,0.2873,0.2652,0.2343,0.2051,0.2067,0.1841,0.1625,0.7230,0.5381,0.2520,0.8481,0.7868,0.6687,0.6330,0.5923,0.5678,0.5003,0.4737,0.4521,0.4493,0.3511,0.3360,0.3342,0.3421,0.2309,0.2284,0.2334,0.2456,0.1703,0.1713,0.1832,0.1927,0.1508,0.1516,0.1386,0.1840,0.1623,0.1476
0.9603,1.0000,0.8455,0.9194,0.9420,0.9121,0.7139,0.7806,0.7984,0.7538,0.5674,0.6133,0.6062,0.5638,0.4204,0.4422,0.4265,0.3861,0.3153,0.3157,0.2988,0.2730,0.2321,0.2252,0.1853,0.8473,0.6826,0.3456,0.7947,0.7980,0.7610,0.6809,0.5953,0.5302,0.6103,0.5385,0.4712,0.4270,0.4494,0.3984,0.3600,0.3329,0.3048,0.2788,0.2583,0.2454,0.2221,0.2095,0.2064,0.1994,0.1788,0.1628,0.1543,0.2469,0.2029,0.1692
0.8527,0.8455,1.0000,0.9602,0.8533,0.7142,0.9581,0.9147,0.7921,0.6280,0.8441,0.7946,0.6656,0.5155,0.6856,0.6318,0.5195,0.3953,0.5309,0.4795,0.4005,0.3189,0.3913,0.3244,0.2949,0.5890,0.4900,0.3053,0.5743,0.5293,0.4903,0.4350,0.3935,0.3822,0.4026,0.3500,0.3215,0.3272,0.3201,0.2779,0.2654,0.2767,0.2426,0.2173,0.2108,0.2230,0.2100,0.1930,0.1973,0.2038,0.2008,0.1881,0.2003,0.2560,0.2485,0.2409
0.8654,0.9194,0.9602,1.0000,0.9602,0.8556,0.9020,0.9505,0.9042,0.7771,0.7846,0.8208,0.7618,0.6418,0.6309,0.6448,0.5862,0.4849,0.4908,0.4818,0.4358,0.3700,0.3657,0.3350,0.2818,0.7287,0.6326,0.3901,0.6021,0.5991,0.6048,0.5159,0.4401,0.3965,0.5156,0.4273,0.3640,0.3365,0.4134,0.3412,0.2998,0.2820,0.3092,0.2631,0.2352,0.2252,0.2526,0.2232,0.2132,0.2039,0.2153,0.1866,0.1977,0.3074,0.2710,0.2373
0.8370,0.9420,0.8533,0.9602,1.0000,0.9605,0.7804,0.9009,0.9453,0.8927,0.6690,0.7714,0.7946,0.7396,0.5327,0.5997,0.6045,0.5515,0.4204,0.4464,0.4388,0.4026,0.3210,0.3263,0.2577,0.8619,0.7772,0.4744,0.6303,0.6747,0.7313,0.6138,0.5039,0.4262,0.6475,0.5263,0.4253,0.3616,0.5240,0.4239,0.3506,0.3012,0.3875,0.3227,0.2720,0.2386,0.2989,0.2601,0.2364,0.2120,0.2308,0.1898,0.1956,0.3535,0.2860,0.2286
0.7815,0.9121,0.7142,0.8556,0.9605,1.0000,0.6326,0.7830,0.8995,0.9372,0.5342,0.6637,0.7498,0.7759,0.4219,0.5122,0.5666,0.5732,0.3412,0.3856,0.4091,0.4084,0.2706,0.3028,0.2304,0.9626,0.8915,0.5397,0.6679,0.7586,0.8588,0.7313,0.5950,0.4840,0.7857,0.6504,0.5164,0.4145,0.6420,0.5299,0.4277,0.3450,0.4710,0.3992,0.3290,0.2716,0.3457,0.3060,0.2723,0.2346,0.2501,0.2023,0.1985,0.3861,0.2935,0.2196
0.7031,0.7139,0.9581,0.9020,0.7804,0.6326,1.0000,0.9409,0.7933,0.6080,0.9577,0.8937,0.7342,0.5505,0.8429,0.7746,0.6283,0.4658,0.6936,0.6285,0.5216,0.4075,0.5357,0.4405,0.4097,0.5056,0.4570,0.3473,0.4455,0.4164,0.4099,0.3587,0.3229,0.3164,0.3638,0.3099,0.2825,0.2900,0.3175,0.2685,0.2533,0.2650,0.2656,0.2309,0.2199,0.2316,0.2528,0.2257,0.2262,0.2305,0.2537,0.2310,0.2623,0.3185,0.3266,0.3273
0.7028,0.7806,0.9147,0.9505,0.9009,0.7830,0.9409,1.0000,0.9421,0.7913,0.8940,0.9506,0.8833,0.7284,0.7827,0.8177,0.7483,0.6100,0.6491,0.6522,0.5955,0.5002,0.5080,0.4706,0.3973,0.6450,0.6197,0.4729,0.4543,0.4673,0.5158,0.4266,0.3553,0.3165,0.4826,0.3837,0.3165,0.2880,0.4287,0.3369,0.2848,0.2618,0.3558,0.2873,0.2453,0.2276,0.3180,0.2678,0.2454,0.2264,0.2770,0.2272,0.2594,0.4042,0.3693,0.3265
0.6685,0.7984,0.7921,0.9042,0.9453,0.8995,0.7933,0.9421,1.0000,0.9414,0.7450,0.8924,0.9416,0.8764,0.6484,0.7629,0.7922,0.7277,0.5500,0.6090,0.6158,0.5688,0.4455,0.4691,0.3672,0.7890,0.7992,0.6116,0.4750,0.5352,0.6476,0.5250,0.4170,0.3441,0.6387,0.4954,0.3830,0.3147,0.5782,0.4428,0.3473,0.2857,0.4767,0.3743,0.2971,0.2475,0.3998,0.3300,0.2840,0.2420,0.3096,0.2376,0.2635,0.4914,0.4056,0.3214
0.5992,0.7538,0.6280,0.7771,0.8927,0.9372,0.6080,0.7913,0.9414,1.0000,0.5633,0.7445,0.8837,0.9368,0.4875,0.6337,0.7408,0.7728,0.4271,0.5136,0.5723,0.5864,0.3628,0.4318,0.3212,0.8928,0.9426,0.7225,0.4923,0.6000,0.7745,0.6346,0.4951,0.3870,0.8009,0.6295,0.4722,0.3590,0.7381,0.5736,0.4326,0.3268,0.6058,0.4812,0.3678,0.2822,0.4793,0.4006,0.3332,0.2683,0.3404,0.2535,0.2665,0.5526,0.4211,0.3060
